trackId	lap_number	world_position_X	world_position_Y
Chang	256	-633.15454	-542.92224
Chang	256	-633.1415	-542.9192
Chang	256	-633.1279	-542.916
Chang	256	-633.1139	-542.9128
Chang	256	-633.0993	-542.9093
Chang	256	-633.0842	-542.9058
Chang	256	-633.0686	-542.9022
Chang	256	-633.05255	-542.89844
Chang	256	-633.0358	-542.89453
Chang	256	-633.0187	-542.8906
Chang	256	-633.001	-542.8865
Chang	256	-632.9828	-542.88226
Chang	256	-632.9639	-542.87787
Chang	256	-632.9446	-542.87335
Chang	256	-632.9246	-542.8687
Chang	256	-632.90405	-542.86395
Chang	256	-632.88293	-542.859
Chang	256	-632.8612	-542.854
Chang	256	-632.8389	-542.8489
Chang	256	-632.816	-542.8435
Chang	256	-632.7925	-542.838
Chang	256	-632.76825	-542.8324
Chang	256	-632.74347	-542.82666
Chang	256	-632.7181	-542.8208
Chang	256	-632.69196	-542.81476
Chang	256	-632.6651	-542.8086
Chang	256	-632.6376	-542.80225
Chang	256	-632.6095	-542.7957
Chang	256	-632.5805	-542.78906
Chang	256	-632.5506	-542.78217
Chang	256	-632.51984	-542.7751
Chang	256	-632.48816	-542.7678
Chang	256	-632.45575	-542.7603
Chang	256	-632.4223	-542.7526
Chang	256	-632.38806	-542.7447
Chang	256	-632.3528	-542.7366
Chang	256	-632.3165	-542.7282
Chang	256	-632.2792	-542.71967
Chang	256	-632.2408	-542.7109
Chang	256	-632.2014	-542.70184
Chang	256	-632.161	-542.6925
Chang	256	-632.1195	-542.68304
Chang	256	-632.07684	-542.6733
Chang	256	-632.0332	-542.66327
Chang	256	-631.9884	-542.653
Chang	256	-631.9426	-542.6425
Chang	256	-631.8957	-542.63184
Chang	256	-631.8477	-542.62085
Chang	256	-631.79877	-542.6097
Chang	256	-631.7488	-542.5982
Chang	256	-631.69775	-542.5866
Chang	256	-631.6459	-542.57477
Chang	256	-631.5929	-542.5627
Chang	256	-631.53876	-542.5504
Chang	256	-631.48285	-542.53766
Chang	256	-631.4246	-542.5244
Chang	256	-631.3639	-542.5107
