trackId	lap_number	world_position_X	world_position_Y
Sepang	256	-304.75165	-148.45822
Sepang	256	-304.73752	-148.45396
Sepang	256	-304.64633	-148.4276
Sepang	256	-304.64313	-148.42694
Sepang	256	-304.6323	-148.4232
Sepang	256	-304.61838	-148.41838
Sepang	256	-304.6034	-148.41336
Sepang	256	-304.58713	-148.4079
Sepang	256	-304.56906	-148.40178
Sepang	256	-304.54828	-148.39442
Sepang	256	-304.52542	-148.38647
Sepang	256	-304.50012	-148.37784
Sepang	256	-304.46762	-148.36684
Sepang	256	-304.42337	-148.35184
Sepang	256	-304.36652	-148.3327
Sepang	256	-304.2982	-148.31012
Sepang	256	-304.23203	-148.28853
Sepang	256	-304.17117	-148.26833
Sepang	256	-304.11264	-148.24957
Sepang	256	-304.05722	-148.23314
Sepang	256	-304.00043	-148.21689
Sepang	256	-303.94125	-148.20071
Sepang	256	-303.87747	-148.18439
Sepang	256	-303.81097	-148.1687
Sepang	256	-303.74133	-148.15385
Sepang	256	-303.66998	-148.14058
Sepang	256	-303.59805	-148.12935
Sepang	256	-303.52853	-148.11986
Sepang	256	-303.45938	-148.11142
Sepang	256	-303.39044	-148.10394
Sepang	256	-303.3224	-148.09741
Sepang	256	-303.25357	-148.09152
Sepang	256	-303.17966	-148.08577
Sepang	256	-303.09946	-148.07985
Sepang	256	-303.01526	-148.07417
Sepang	256	-302.92697	-148.06891
Sepang	256	-302.8344	-148.06418
Sepang	256	-302.74487	-148.06068
Sepang	256	-302.65652	-148.0583
Sepang	256	-302.56995	-148.05649
Sepang	256	-302.48438	-148.05461
Sepang	256	-302.3988	-148.0523
Sepang	256	-302.31375	-148.04927
Sepang	256	-302.22925	-148.04536
Sepang	256	-302.1462	-148.04051
Sepang	256	-302.0644	-148.03465
Sepang	256	-301.98523	-148.02776
Sepang	256	-301.9056	-148.0206
Sepang	256	-301.82465	-148.01387
Sepang	256	-301.74762	-148.00769
Sepang	256	-301.67166	-148.00119
Sepang	256	-301.59717	-147.9941
Sepang	256	-301.52393	-147.98619
Sepang	256	-301.45303	-147.9773
Sepang	256	-301.38333	-147.96724
Sepang	256	-301.31595	-147.9558
Sepang	256	-301.2495	-147.94214
Sepang	256	-301.18848	-147.92793
Sepang	256	-301.12744	-147.9126
Sepang	256	-301.06912	-147.89703
Sepang	256	-301.01422	-147.88164
Sepang	256	-300.96317	-147.86678
Sepang	256	-300.91238	-147.85146
Sepang	256	-300.85648	-147.83432
Sepang	256	-300.79602	-147.81525
Sepang	256	-300.73166	-147.79416
Sepang	256	-300.66373	-147.7707
Sepang	256	-300.59235	-147.74461
Sepang	256	-300.51828	-147.7161
Sepang	256	-300.44272	-147.68604
Sepang	256	-300.36444	-147.65366
Sepang	256	-300.28802	-147.62032
Sepang	256	-300.2123	-147.58517
Sepang	256	-300.1413	-147.55081
Sepang	256	-300.06927	-147.51485
Sepang	256	-299.9979	-147.47821
Sepang	256	-299.92764	-147.44122
Sepang	256	-299.85864	-147.40398
Sepang	256	-299.79053	-147.3664
Sepang	256	-299.72424	-147.32906
Sepang	256	-299.659	-147.29161
Sepang	256	-299.59354	-147.25351
Sepang	256	-299.5291	-147.21518
Sepang	256	-299.46344	-147.17525
Sepang	256	-299.39703	-147.13412
Sepang	256	-299.3314	-147.09297
Sepang	256	-299.26624	-147.05162
Sepang	256	-299.2036	-147.01181
Sepang	256	-299.1423	-146.97318
Sepang	256	-299.08237	-146.93607
Sepang	256	-299.02277	-146.90002
Sepang	256	-298.9643	-146.86534
Sepang	256	-298.90506	-146.83133
Sepang	256	-298.84924	-146.80045
Sepang	256	-298.79306	-146.76991
Sepang	256	-298.73898	-146.74026
Sepang	256	-298.68698	-146.71188
Sepang	256	-298.63666	-146.68495
Sepang	256	-298.58896	-146.66013
Sepang	256	-298.54004	-146.63574
Sepang	256	-298.487	-146.61055
Sepang	256	-298.4282	-146.58405
Sepang	256	-298.36484	-146.55743
Sepang	256	-298.29764	-146.53026
Sepang	256	-298.2266	-146.50313
Sepang	256	-298.151	-146.47548
Sepang	256	-298.07217	-146.44746
Sepang	256	-297.9892	-146.41866
Sepang	256	-297.90497	-146.39003
Sepang	256	-297.81992	-146.3622
Sepang	256	-297.73654	-146.33627
Sepang	256	-297.65402	-146.31172
Sepang	256	-297.57034	-146.28775
Sepang	256	-297.4859	-146.26439
Sepang	256	-297.4036	-146.24236
Sepang	256	-297.3201	-146.22072
Sepang	256	-297.23618	-146.19969
Sepang	256	-297.15375	-146.17967
Sepang	256	-297.0704	-146.16002
Sepang	256	-296.98862	-146.14128
Sepang	256	-296.9054	-146.12259
Sepang	256	-296.81982	-146.10368
Sepang	256	-296.73264	-146.08447
Sepang	256	-296.64236	-146.06442
Sepang	256	-296.54742	-146.04303
Sepang	256	-296.45172	-146.02109
Sepang	256	-296.34973	-145.99757
Sepang	256	-296.24405	-145.97318
Sepang	256	-296.13556	-145.9482
Sepang	256	-296.02692	-145.92351
Sepang	256	-295.92303	-145.90097
Sepang	256	-295.81766	-145.87901
Sepang	256	-295.71127	-145.85732
Sepang	256	-295.6064	-145.83627
Sepang	256	-295.50098	-145.81538
Sepang	256	-295.39856	-145.79538
Sepang	256	-295.2902	-145.77437
Sepang	256	-295.17752	-145.75255
Sepang	256	-295.05847	-145.72969
Sepang	256	-294.93698	-145.70758
Sepang	256	-294.8101	-145.68599
Sepang	256	-294.68002	-145.6661
Sepang	256	-294.5546	-145.64825
Sepang	256	-294.43103	-145.63039
Sepang	256	-294.3089	-145.61156
Sepang	256	-294.1867	-145.59119
Sepang	256	-294.06415	-145.56902
Sepang	256	-293.94397	-145.54524
Sepang	256	-293.82364	-145.51903
Sepang	256	-293.70792	-145.49266
Sepang	256	-293.5893	-145.46507
Sepang	256	-293.4704	-145.43723
Sepang	256	-293.35175	-145.40941
Sepang	256	-293.2363	-145.38214
Sepang	256	-293.12088	-145.3548
Sepang	256	-293.00613	-145.32863
Sepang	256	-292.8863	-145.30382
Sepang	256	-292.76245	-145.28035
Sepang	256	-292.63858	-145.2586
Sepang	256	-292.5095	-145.23625
Sepang	256	-292.37668	-145.21248
Sepang	256	-292.2475	-145.18742
Sepang	256	-292.11926	-145.15933
Sepang	256	-291.9953	-145.12794
Sepang	256	-291.86765	-145.09232
Sepang	256	-291.7462	-145.05722
Sepang	256	-291.62195	-145.02077
Sepang	256	-291.49902	-144.98436
Sepang	256	-291.3458	-144.93837
Sepang	256	-291.21448	-144.89871
