carId	trackId	trackLength	lapIndex	lapNum	lapFlag	binIndex	validBin	lap_number	lap_distance	lap_time	lap_time_invalid	world_position_X	world_position_Y	world_position_Z	world_forward_X	world_forward_Y	world_forward_Z	world_right_X	world_right_Y	world_right_Z	velocity_X	velocity_Y	velocity_Z	gforce_X	gforce_Y	gforce_Z	race_position	throttle	brake_0	brake_1	clutch	steering	gear	rpm	rpm_perc	tyre_compound_0	tyre_compound_1	susp_pos_0	susp_pos_1	wheel_inertia_0	wheel_inertia_1	wheel_speed_0	wheel_speed_1	tyre_wear_enabled_0	tyre_wear_enabled_1	tyre_wear_0	tyre_wear_1	wheel_slip_ratio_0	wheel_slip_ratio_1	wheel_slip_angle_0	wheel_slip_angle_1	brake_temp_0	brake_temp_1	weight_longitudinal_action	slip_stream
Honda_RC213V	Losail	5402.23	0	0	0	0	1	0	0.98499	0.0503464	0	-411.955	-170.136	-20.2185	-0.484167	0.874675	0.022957	0.874902	0.484301	-0.000350543	16.3311	0.00592041	0	-0.440545	-0.000400318	0	0	0.530843	0	0	0	-0.000244888	1	6504.98	0.361388	2	2	-0.00577039	0.0277575	1.4	1.5	58.1379	56.3971	0	0	0	0	-0.00547722	0.0338601	0.000501836	0.00038022	38.1144	20.9646	0.282115	0
Honda_RC213V	Losail	5402.23	0	0	0	1	1	0	1.33819	0.0793686	0	-412.126	-169.827	-20.2196	-0.484164	0.874676	0.0229513	0.874903	0.484298	-0.000327744	16.4548	0.00596191	0	-0.435832	-0.000361668	0	0	0.505405	0	0	0	-0.000219478	1	6539.11	0.363284	2	2	-0.00567069	0.0278405	1.4	1.5	58.581	56.6929	0	0	0	0	-0.00531845	0.0318857	0.000490344	0.000377986	38.0934	20.9646	0.27137	0
Honda_RC213V	Losail	5402.23	0	0	0	2	1	0	2.82511	0.169731	0	-412.846	-168.526	-20.2239	-0.484197	0.874722	0.0203907	0.874901	0.484302	-0.000254433	16.7336	0.00619141	0	-0.209697	-0.000168604	0	0	0.289189	0	0	0	-0.000166038	1	6504.59	0.361366	2	2	-0.00360556	0.026117	1.4	1.5	59.6179	56.3937	0	0	0	0	-0.00183894	0.0130783	0.000483087	0.000374727	38.0069	20.9648	0.190575	0
Honda_RC213V	Losail	5402.23	0	0	0	3	1	0	3.9399	0.228378	0	-413.385	-167.55	-20.2269	-0.48426	0.874782	0.0157516	0.874889	0.484323	-0.000205854	16.8017	0.00674561	0	-0.104518	-0.000210569	0	0	0.293429	0	0	0	-0.000113115	1	6516.63	0.362035	2	2	-0.000110084	0.0227885	1.4	1.5	59.8608	56.4981	0	0	0	0	-0.00105149	0.0101971	0.000493361	0.000400699	37.944	20.9649	0.144594	0
Honda_RC213V	Losail	5402.23	0	0	0	4	1	0	4.30459	0.257217	0	-413.562	-167.231	-20.2279	-0.484281	0.874805	0.013736	0.874886	0.484329	-0.000183272	16.8274	0.00695068	0	-0.0886709	-0.000347112	0	0	0.293429	0	0	0	-7.95367e-05	1	6529	0.362722	2	2	0.00139759	0.0213397	1.4	1.5	59.9736	56.6053	0	0	0	0	-0.00102323	0.0102075	0.000494083	0.000408434	37.9235	20.965	0.132077	0
Honda_RC213V	Losail	5402.23	0	0	0	5	1	0	5.77276	0.345024	0	-414.272	-165.946	-20.2321	-0.484286	0.874846	0.0105716	0.874894	0.484314	-0.000118376	16.8805	0.00679199	0	-0.0518756	3.64018e-05	0	0	0.293429	0	0	0	-1.77225e-05	1	6559.3	0.364405	2	2	0.00387068	0.0191582	1.4	1.5	60.2451	56.868	0	0	0	0	-0.000680627	0.0106803	0.000451974	0.000399865	37.8402	20.9652	0.125729	0
Honda_RC213V	Losail	5402.23	0	0	0	6	1	0	6.88952	0.403343	0	-414.813	-164.969	-20.2353	-0.484271	0.87486	0.0101511	0.874904	0.484296	-7.80555e-05	16.9128	0.00650879	0	-0.0586439	-5.09578e-05	0	0	0.323105	0	0	0	-2.23177e-05	1	6591.05	0.366169	2	2	0.00432791	0.0189921	1.4	1.5	60.3828	57.1433	0	0	0	0	-0.000720405	0.012734	0.000426463	0.000389881	37.7783	20.9653	0.138531	0
Honda_RC213V	Losail	5402.23	0	0	0	7	1	0	7.99824	0.461624	0	-415.349	-163.999	-20.2386	-0.484255	0.874863	0.0106041	0.874912	0.484282	-4.08911e-05	16.9683	0.00612549	0	-0.109225	0.000222363	0	0	0.323105	0	0	0	-5.897e-05	1	6619.32	0.36774	2	2	0.00411183	0.0194342	1.4	1.5	60.5836	57.3883	0	0	0	0	-0.00111855	0.0138196	0.000403917	0.000375147	37.7167	20.9654	0.145019	0
Honda_RC213V	Losail	5402.23	0	0	0	8	1	0	8.73147	0.519821	0	-415.704	-163.357	-20.2407	-0.484434	0.874758	0.011034	0.87481	0.484465	-0.00022469	17.0368	-0.0121582	0	-0.122643	0.0740075	0	0	0.323105	0	0	0	-0.000776545	1	6644.48	0.369138	2	2	0.00384736	0.0197785	1.4	1.5	60.8173	57.6065	0	0	0	0	-0.00117648	0.0136686	-0.00250473	-0.000147485	37.6755	20.9655	0.145019	0
Honda_RC213V	Losail	5402.23	0	0	0	9	1	0	9.84787	0.577873	0	-416.245	-162.38	-20.2439	-0.484294	0.874836	0.0110164	0.874888	0.484326	-0.000201586	17.1078	0.0077124	0	-0.125278	-0.00206462	0	0	0.28071	0	0	0	-0.000109871	1	6648.92	0.369384	2	2	0.00396522	0.0198713	1.4	1.5	61.0583	57.645	0	0	0	0	-0.00112507	0.0112275	0.000567344	0.000419096	37.6143	20.9656	0.130227	0
Honda_RC213V	Losail	5402.23	0	0	0	10	1	0	10.9658	0.635696	0	-416.786	-161.402	-20.2471	-0.484271	0.87487	0.00915337	0.874906	0.484293	-0.000153961	17.0965	0.00699219	0	0.123502	-7.94631e-05	0	0	0	0	0	0	-4.54615e-05	1	6432.04	0.357335	2	2	0.00546635	0.0186304	1.4	1.5	61.0152	55.7647	0	0	0	0	0.00196776	-0.0161069	0.00048917	0.00039365	37.5535	20.9658	0.0697574	0
Honda_RC213V	Losail	5402.23	0	0	0	11	1	0	11.7069	0.694046	0	-417.145	-160.753	-20.2492	-0.484315	0.874888	0.00318921	0.874892	0.484317	-0.000103288	16.9471	0.00727051	0	0.276282	0.000254711	0	0	0	0	0	0	-2.56239e-05	1	6307.62	0.350423	2	2	0.00992651	0.0143689	1.4	1.5	60.419	54.686	0	0	0	0	0.00221911	-0.0273811	0.000483372	0.000427433	37.513	20.9658	0.0217343	0
Honda_RC213V	Losail	5402.23	0	0	0	12	1	0	12.8005	0.751541	0	-417.674	-159.796	-20.252	-0.484344	0.874875	-0.00217274	0.874877	0.484345	-6.03207e-05	16.7722	0.00762451	0	0.321892	0.000414695	0	0	0	0	0	0	1.63217e-05	1	6227.61	0.345978	2	2	0.0137813	0.0104182	1.4	1.5	59.8427	53.9923	0	0	0	0	0.00228113	-0.0309173	0.000468002	0.000452579	37.453	20.966	0.00105176	0
Honda_RC213V	Losail	5402.23	0	0	0	13	1	0	13.8794	0.809036	0	-418.196	-158.852	-20.2548	-0.484489	0.874781	-0.00533896	0.874794	0.484494	-0.000283993	16.5752	0.00378174	0	0.355826	0.0137888	0	0	0	0	0	0	-0.00016564	1	6160.13	0.342229	2	2	0.0159647	0.00799125	1.4	1.5	59.2043	53.4073	0	0	0	0	0.0025721	-0.0310474	-0.000221423	0.00022604	37.3932	20.9661	0	0
Honda_RC213V	Losail	5402.23	0	0	0	14	1	0	14.5921	0.867043	0	-418.541	-158.228	-20.2567	-0.484349	0.874848	-0.00683912	0.874869	0.484359	-0.000214684	16.3736	0.00819092	0	0.352522	-0.00308818	0	0	0	0	0	0	8.94386e-05	1	6093.4	0.338522	2	2	0.0169699	0.00683399	1.4	1.5	58.5209	52.8287	0	0	0	0	0.00269005	-0.030273	0.00048867	0.000479469	37.3533	20.9662	0	0
