carId	trackId	trackLength	lapIndex	lapNum	lapFlag	binIndex	validBin	lap_number	lap_distance	lap_time	lap_time_invalid	world_position_X	world_position_Y	world_position_Z	world_forward_X	world_forward_Y	world_forward_Z	world_right_X	world_right_Y	world_right_Z	velocity_X	velocity_Y	velocity_Z	gforce_X	gforce_Y	gforce_Z	race_position	throttle	brake_0	brake_1	clutch	steering	gear	rpm	rpm_perc	tyre_compound_0	tyre_compound_1	susp_pos_0	susp_pos_1	wheel_inertia_0	wheel_inertia_1	wheel_speed_0	wheel_speed_1	tyre_wear_enabled_0	tyre_wear_enabled_1	tyre_wear_0	tyre_wear_1	wheel_slip_ratio_0	wheel_slip_ratio_1	wheel_slip_angle_0	wheel_slip_angle_1	brake_temp_0	brake_temp_1	weight_longitudinal_action	slip_stream
Honda_RC213V	Losail	5402.23	0	0	0	0	1	0	0.709769	13.5486	0	-391.826	-158.503	-20.4189	-0.497061	0.867703	0.00473097	0.867666	0.496967	0.013381	15.7603	0.000661621	0	0.000273776	0.0124233	0	0	0.233955	0	0	0	-0.00136259	1	6083.98	0.337999	2	2	0.0084024	0.0165209	1.4	1.5	56.2958	52.7471	0	0	0	0	0	0	0	0	24.2609	21.4412	0.087071	0
Honda_RC213V	Losail	5402.23	0	0	0	1	1	0	1.37114	13.6049	0	-392.155	-157.929	-20.421	-0.497445	0.867481	0.0050388	0.867447	0.497347	0.013482	15.7598	0.000830078	0	0.000896424	0.0120891	0	0	0.234023	0	0	0	-0.0013624	1	6084.04	0.338002	2	2	0.00846962	0.0165964	1.4	1.5	56.2959	52.7476	0	0	0	0	0	0	0	0	24.2579	21.4449	0.0871149	0
Honda_RC213V	Losail	5402.23	0	0	0	2	1	0	2.72766	13.6914	0	-392.83	-156.751	-20.4248	-0.498035	0.867139	0.00558742	0.86711	0.49793	0.0136376	15.759	0.000718994	0	0.00111254	0.0128306	0	0	0.234162	0	0	0	-0.00136351	1	6084.02	0.338001	2	2	0.00852978	0.0167062	1.4	1.5	56.295	52.7474	0	0	0	0	0	0	0	0	24.2519	21.4524	0.0872052	0
Honda_RC213V	Losail	5402.23	0	0	0	3	1	0	3.73879	13.7477	0	-393.334	-155.873	-20.4273	-0.49843	0.86691	0.00597654	0.866884	0.49832	0.0137366	15.7586	0.000734863	0	0.000695737	0.0126956	0	0	0.234277	0	0	0	-0.00137809	1	6083.85	0.337992	2	2	0.00858807	0.0167635	1.4	1.5	56.2937	52.7459	0	0	0	0	0	0	0	0	24.2474	21.4579	0.08728	0
Honda_RC213V	Losail	5402.23	0	0	0	4	1	0	4.74008	13.8044	0	-393.834	-155.005	-20.4291	-0.498829	0.866677	0.00644248	0.866656	0.498714	0.0138354	15.7577	0.000693359	0	0.00120804	0.0127822	0	0	0.234425	0	0	0	-0.00139614	1	6084.03	0.338001	2	2	0.00855927	0.01675	1.4	1.5	56.2929	52.7475	0	0	0	0	0	0	0	0	24.243	21.4634	0.0873763	0
Honda_RC213V	Losail	5402.23	0	0	0	5	1	0	5.40532	13.8611	0	-394.166	-154.427	-20.4301	-0.499228	0.866442	0.00701571	0.866428	0.499108	0.0139287	15.7567	0.000782471	0	0.00204052	0.0127662	0	0	0.234574	0	0	0	-0.00140358	1	6084.01	0.338001	2	2	0.00866245	0.0168782	1.4	1.5	56.293	52.7473	0	0	0	0	0	0	0	0	24.24	21.467	0.0874729	0
Honda_RC213V	Losail	5402.23	0	0	0	6	1	0	6.74164	13.9452	0	-394.834	-153.269	-20.4311	-0.499833	0.866085	0.00800712	0.866083	0.499702	0.0140636	15.7553	0.000522461	0	0.00249184	0.013473	0	0	0.234818	0	0	0	-0.00143584	1	6083.88	0.337993	2	2	0.00872089	0.0170346	1.4	1.5	56.2908	52.7462	0	0	0	0	0	0	0	0	24.2342	21.4742	0.0876318	0
Honda_RC213V	Losail	5402.23	0	0	0	7	1	0	7.74387	14.002	0	-395.335	-152.4	-20.4311	-0.500248	0.865839	0.00871883	0.865847	0.50011	0.0141501	15.7542	0.000633545	0	0.00175654	0.0130815	0	0	0.235078	0	0	0	-0.00146023	1	6083.73	0.337985	2	2	0.00864223	0.0170473	1.4	1.5	56.2872	52.7449	0	0	0	0	0	0	0	0	24.2298	21.4797	0.0878009	0
Honda_RC213V	Losail	5402.23	0	0	0	8	1	0	8.73879	14.0583	0	-395.834	-151.538	-20.4303	-0.500658	0.865595	0.00936652	0.865612	0.500514	0.0142282	15.753	0.000688477	0	0.00230307	0.0134888	0	0	0.235304	0	0	0	-0.00147016	1	6083.27	0.337959	2	2	0.00867279	0.0171962	1.4	1.5	56.2802	52.7409	0	0	0	0	0	0	0	0	24.2254	21.4851	0.0879477	0
Honda_RC213V	Losail	5402.23	0	0	0	9	1	0	9.41	14.1147	0	-396.17	-150.956	-20.4295	-0.501071	0.865349	0.00990516	0.865374	0.500922	0.0143003	15.7519	0.000627441	0	0.00174101	0.0138492	0	0	0.23555	0	0	0	-0.00148574	1	6082.56	0.33792	2	2	0.00862896	0.0172263	1.4	1.5	56.2724	52.7348	0	0	0	0	0	0	0	0	24.2225	21.4887	0.0881072	0
